modelo,epsilon,seed,rep,Accuracy,F1-Score
Naive Bayes (Gaussian),0.5,37397,19,0.5211870888786906,0.5163757268312988
Naive Bayes (Gaussian),1.0,42,0,0.526133292539901,0.5108610881945128
Naive Bayes (Gaussian),1.0,137,1,0.508439141298251,0.4743770942815939
Naive Bayes (Gaussian),1.0,271,2,0.5255723828463618,0.526014831689566
Naive Bayes (Gaussian),1.0,314,3,0.5124674927336699,0.5086120355916678
Naive Bayes (Gaussian),1.0,1729,4,0.5576462189587477,0.5578851954917345
Naive Bayes (Gaussian),1.0,2718,5,0.5500484422008056,0.5473843263348207
Naive Bayes (Gaussian),1.0,3141,6,0.5312834633623986,0.5111117399694202
Naive Bayes (Gaussian),1.0,6022,7,0.544286369894447,0.5446313319262501
Naive Bayes (Gaussian),1.0,8128,8,0.532456274539799,0.5276515773771687
Naive Bayes (Gaussian),1.0,9999,9,0.5351078476365305,0.5159846259711628
Naive Bayes (Gaussian),1.0,10007,10,0.550201417571771,0.5455565635907457
Naive Bayes (Gaussian),1.0,11113,11,0.5204222120238642,0.5021608521185792
Naive Bayes (Gaussian),1.0,13121,12,0.4868696139921473,0.4035985537355235
Naive Bayes (Gaussian),1.0,17171,13,0.5356687573300699,0.5214570046345326
Naive Bayes (Gaussian),1.0,19273,14,0.5334761103462342,0.5314460114252955
Naive Bayes (Gaussian),1.0,23131,15,0.5224618836367345,0.5182124240694505
Naive Bayes (Gaussian),1.0,29327,16,0.5210341135077252,0.5083330066295243
Naive Bayes (Gaussian),1.0,31193,17,0.5314364387333639,0.5312059793143961
Naive Bayes (Gaussian),1.0,33391,18,0.5315894141043292,0.5321047045376576
Naive Bayes (Gaussian),1.0,37397,19,0.5190964254754984,0.5032078018965157
Naive Bayes (Gaussian),5.0,42,0,0.5842129417163837,0.578791421283575
Naive Bayes (Gaussian),5.0,137,1,0.5434195094589771,0.5343937706439146
Naive Bayes (Gaussian),5.0,271,2,0.5550966294426597,0.5487645531651104
Naive Bayes (Gaussian),5.0,314,3,0.5755443373616848,0.5701469514847843
Naive Bayes (Gaussian),5.0,1729,4,0.5799296313293559,0.5658784571552732
Naive Bayes (Gaussian),5.0,2718,5,0.5716689612972311,0.5663590421147849
Naive Bayes (Gaussian),5.0,3141,6,0.5840089745550966,0.5821029992540848
Naive Bayes (Gaussian),5.0,6022,7,0.5700372240069349,0.5701394036980628
Naive Bayes (Gaussian),5.0,8128,8,0.5748304522971801,0.5700168137331401
Naive Bayes (Gaussian),5.0,9999,9,0.5722808627810922,0.571734946563167
Naive Bayes (Gaussian),5.0,10007,10,0.5866605476518281,0.5681546912183812
Naive Bayes (Gaussian),5.0,11113,11,0.5723828463617358,0.5718153483651979
