modelo,epsilon,seed,rep,Accuracy,F1-Score,tecnica
Naive Bayes (Gaussian),1.0,23131,15,0.5224618836367345,0.4927606985827166,k=10 + DP
Naive Bayes (Gaussian),1.0,29327,16,0.5265412268624752,0.5205358902144471,k=10 + DP
Naive Bayes (Gaussian),1.0,31193,17,0.541532813217072,0.533323956128572,k=10 + DP
Naive Bayes (Gaussian),1.0,33391,18,0.5220029575238386,0.5113206111466378,k=10 + DP
Naive Bayes (Gaussian),1.0,37397,19,0.5479067870072918,0.5278369728629837,k=10 + DP
Naive Bayes (Gaussian),10.0,42,0,0.5888531946356637,0.5868290432061911,k=10 + DP
Naive Bayes (Gaussian),10.0,137,1,0.5792667380551731,0.5795801197116422,k=10 + DP
Naive Bayes (Gaussian),10.0,271,2,0.5850288103615318,0.5812620975962127,k=10 + DP
Naive Bayes (Gaussian),10.0,314,3,0.5923716281678649,0.5864600401551894,k=10 + DP
Naive Bayes (Gaussian),10.0,1729,4,0.5827341797970527,0.5802962147016384,k=10 + DP
Naive Bayes (Gaussian),10.0,2718,5,0.5859976543776452,0.580880511341675,k=10 + DP
Naive Bayes (Gaussian),10.0,3141,6,0.581408393248687,0.5814740482840222,k=10 + DP
Naive Bayes (Gaussian),10.0,6022,7,0.5822242618938351,0.5801336982739106,k=10 + DP
Naive Bayes (Gaussian),10.0,8128,8,0.5619805211360971,0.5583216231525573,k=10 + DP
Naive Bayes (Gaussian),10.0,9999,9,0.5882412931518025,0.5833900152921732,k=10 + DP
Naive Bayes (Gaussian),10.0,10007,10,0.5822752536841569,0.5420629924789682,k=10 + DP
Naive Bayes (Gaussian),10.0,11113,11,0.5862526133292539,0.5830523889145129,k=10 + DP
Naive Bayes (Gaussian),10.0,13121,12,0.5876293916679415,0.5877768031281567,k=10 + DP
Naive Bayes (Gaussian),10.0,17171,13,0.5812044260874,0.5563624834273146,k=10 + DP
Naive Bayes (Gaussian),10.0,19273,14,0.5861506297486104,0.5738166158967066,k=10 + DP
Naive Bayes (Gaussian),10.0,23131,15,0.5902809647646728,0.5845582372734741,k=10 + DP
Naive Bayes (Gaussian),10.0,29327,16,0.5735556575391362,0.5734473794311026,k=10 + DP
Naive Bayes (Gaussian),10.0,31193,17,0.5848248432002447,0.581082492461803,k=10 + DP
Naive Bayes (Gaussian),10.0,33391,18,0.5802865738616083,0.5402735189419556,k=10 + DP
Naive Bayes (Gaussian),10.0,37397,19,0.5793177298454949,0.5797938576379866,k=10 + DP
